,FirstName,LastName,Team,Position,Age,Height,Weight,College,Salary
0,Avery,Bradley,Boston Celtics,PG,25.0,6-2,180.0,Texas,7730337.0
1,Jae,Crowder,Boston Celtics,SF,25.0,6-6,235.0,Marquette,6796117.0
2,John,Holland,Boston Celtics,SG,27.0,6-5,205.0,Boston University,4842684.105381166
3,R.J.,Hunter,Boston Celtics,SG,22.0,6-5,185.0,Georgia State,1148640.0
4,Jonas,Jerebko,Boston Celtics,PF,29.0,6-10,231.0,,5000000.0
5,Amir,Johnson,Boston Celtics,PF,29.0,6-9,240.0,,12000000.0
6,Jordan,Mickey,Boston Celtics,PF,21.0,6-8,235.0,LSU,1170960.0
7,Kelly,Olynyk,Boston Celtics,C,25.0,7-0,238.0,Gonzaga,2165160.0
8,Terry,Rozier,Boston Celtics,PG,22.0,6-2,190.0,Louisville,1824360.0
9,Marcus,Smart,Boston Celtics,PG,22.0,6-4,220.0,Oklahoma State,3431040.0
10,Jared,Sullinger,Boston Celtics,C,24.0,6-9,260.0,Ohio State,2569260.0
11,Isaiah,Thomas,Boston Celtics,PG,27.0,5-9,185.0,Washington,6912869.0
12,Evan,Turner,Boston Celtics,SG,27.0,6-7,220.0,Ohio State,3425510.0
13,James,Young,Boston Celtics,SG,20.0,6-6,215.0,Kentucky,1749840.0
14,Tyler,Zeller,Boston Celtics,C,26.0,7-0,253.0,North Carolina,2616975.0
15,Bojan,Bogdanovic,Brooklyn Nets,SG,27.0,6-8,216.0,,3425510.0
16,Markel,Brown,Brooklyn Nets,SG,24.0,6-3,190.0,Oklahoma State,845059.0
17,Wayne,Ellington,Brooklyn Nets,SG,28.0,6-4,200.0,North Carolina,1500000.0
18,Rondae,Hollis-Jefferson,Brooklyn Nets,SG,21.0,6-7,220.0,Arizona,1335480.0
19,Jarrett,Jack,Brooklyn Nets,PG,32.0,6-3,200.0,Georgia Tech,6300000.0
20,Sergey,Karasev,Brooklyn Nets,SG,22.0,6-7,208.0,,1599840.0
21,Sean,Kilpatrick,Brooklyn Nets,SG,26.0,6-4,219.0,Cincinnati,134215.0
22,Shane,Larkin,Brooklyn Nets,PG,23.0,5-11,175.0,Miami (FL),1500000.0
23,Brook,Lopez,Brooklyn Nets,C,28.0,7-0,275.0,Stanford,19689000.0
24,Chris,McCullough,Brooklyn Nets,PF,21.0,6-11,200.0,Syracuse,1140240.0
25,Willie,Reed,Brooklyn Nets,PF,26.0,6-10,220.0,Saint Louis,947276.0
26,Thomas,Robinson,Brooklyn Nets,PF,25.0,6-10,237.0,Kansas,981348.0
27,Henry,Sims,Brooklyn Nets,C,26.0,6-10,248.0,Georgetown,947276.0
28,Donald,Sloan,Brooklyn Nets,PG,28.0,6-3,205.0,Texas A&M,947276.0
29,Thaddeus,Young,Brooklyn Nets,PF,27.0,6-8,221.0,Georgia Tech,11235955.0
30,Arron,Afflalo,New York Knicks,SG,30.0,6-5,210.0,UCLA,8000000.0
31,Lou,Amundson,New York Knicks,PF,33.0,6-9,220.0,UNLV,1635476.0
32,Thanasis,Antetokounmpo,New York Knicks,SF,23.0,6-7,205.0,,30888.0
33,Carmelo,Anthony,New York Knicks,SF,32.0,6-8,240.0,Syracuse,22875000.0
34,Jose,Calderon,New York Knicks,PG,34.0,6-3,200.0,,7402812.0
35,Cleanthony,Early,New York Knicks,SF,25.0,6-8,210.0,Wichita State,845059.0
36,Langston,Galloway,New York Knicks,SG,24.0,6-2,200.0,Saint Joseph's,845059.0
37,Jerian,Grant,New York Knicks,PG,23.0,6-4,195.0,Notre Dame,1572360.0
38,Robin,Lopez,New York Knicks,C,28.0,7-0,255.0,Stanford,12650000.0
39,Kyle,O'Quinn,New York Knicks,PF,26.0,6-10,250.0,Norfolk State,3750000.0
40,Kristaps,Porzingis,New York Knicks,PF,20.0,7-3,240.0,,4131720.0
41,Kevin,Seraphin,New York Knicks,C,26.0,6-10,278.0,,2814000.0
42,Lance,Thomas,New York Knicks,SF,28.0,6-8,235.0,Duke,1636842.0
43,Sasha,Vujacic,New York Knicks,SG,32.0,6-7,195.0,,947276.0
44,Derrick,Williams,New York Knicks,PF,25.0,6-8,240.0,Arizona,4000000.0
